#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
105000,-1880589.8891704464,347214.48217577115,-1533375.4069946753,300.5105870651902,1367.538849779061,0
110000,-1881241.5685914326,346221.9015196675,-1535019.6670717653,299.6515186478646,1368.5890157752076,120
115000,-1879356.6436364343,348702.78523817565,-1530653.8583982587,301.7986981607052,1370.0611695069906,119
120000,-1878829.9978563637,345151.093376611,-1533678.9044797528,298.72474513977926,1369.6579014725173,118
125000,-1877329.3870712314,347118.7483114127,-1530210.6387598186,300.4277303836368,1370.3694147373901,119
130000,-1877060.335771828,346430.13080072554,-1530630.2049711025,299.83173896328117,1368.30478767645,118
135000,-1879249.3489760533,346842.37325984275,-1532406.9757162104,300.1885306000419,1368.681372106563,118
140000,-1878882.3880800558,347296.2278043493,-1531586.1602757066,300.58133707158424,1367.115788886106,118
145000,-1878095.0334643656,348386.2260794648,-1529708.8073849007,301.5247194429139,1368.4586918985965,118
150000,-1878572.1000905754,346385.3525874794,-1532186.747503096,299.7929838771857,1369.3014499956123,118
155000,-1879725.4946054816,345701.97255731747,-1534023.5220481642,299.20152544271684,1368.5914753929449,0
160000,-1879058.1382074608,349383.37840365205,-1529674.7598038088,302.3877445922602,1367.929788444637,118
165000,-1878671.1629973063,349421.77025187144,-1529249.3927454348,302.4209723446703,1368.737059089998,119
170000,-1878977.218736872,346625.75840281905,-1532351.460334053,300.00105265429687,1367.8603828117841,117
175000,-1878353.9376618136,348314.7504159689,-1530039.1872458446,301.46285798637723,1373.4563518733141,117
180000,-1880072.5362717062,346755.7165436341,-1533316.8197280723,300.11353009747694,1370.9935723322612,117
185000,-1877502.0762834633,345367.9907270472,-1532134.085556416,298.9124675806867,1369.6917241518752,117
190000,-1876787.2233997872,346656.59788949275,-1530130.6255102945,300.0277439149466,1368.5881902006552,117
195000,-1879426.2612161916,348585.9819625184,-1530840.2792536733,301.6976061189247,1369.5462049420016,117
200000,-1880888.006210694,347165.1667638621,-1533722.839446832,300.4679050800055,1371.3249605209496,117
205000,-1878256.8449913785,347804.674067891,-1530452.1709234875,301.02139211822447,1369.3225429964314,117
210000,-1880642.4322898202,347941.2348001924,-1532701.1974896276,301.13958403688173,1370.040807448433,117
215000,-1879786.9814433,345655.91423767,-1534131.0672056298,299.161662437609,1367.4927374967333,117
220000,-1877029.9850961864,346607.23371647927,-1530422.7513797071,299.9850197275241,1372.4208883535528,117
225000,-1880004.4998267489,347342.9019706327,-1532661.597856116,300.62173308566383,1369.2249024175578,117
230000,-1878855.45213639,345943.6620523568,-1532911.790084033,299.4107052314936,1370.472981623497,116
235000,-1878184.7782706674,345320.16517741664,-1532864.613093251,298.8710750560831,1369.6592743709134,116
240000,-1882892.958873666,347327.33038216113,-1535565.6284915048,300.6082560349261,1368.0184098270622,116
245000,-1879421.3256478468,347391.79398133804,-1532029.5316665089,300.6640486214323,1371.1863068558953,116
250000,-1881381.2667227527,346323.29523247154,-1535057.9714902812,299.7392738704248,1366.7626685778455,116
255000,-1881839.5717848008,347548.10605525406,-1534291.4657295467,300.7993351244708,1369.4117653393594,116
260000,-1881856.9827541783,347922.49805392884,-1533934.4847002495,301.12336757441136,1366.7199434721292,115
265000,-1879528.0199582,346799.40396230906,-1532728.615995891,300.151341112015,1370.7644388231467,115
270000,-1880023.3455872247,347164.4966768427,-1532858.848910382,300.467325126536,1370.2564084385808,115
275000,-1879522.4276225558,346059.5364608038,-1533462.891161752,299.51099334819327,1366.332532241955,114
280000,-1880100.385467235,346841.5362510488,-1533258.8492161862,300.1878061774819,1368.615623431042,114
285000,-1881134.097236978,348075.18257649674,-1533058.9146604813,301.2555144688184,1371.4707332683226,114
290000,-1879871.8732873322,347086.331915209,-1532785.5413721232,300.39967432389915,1367.4251652496966,114
295000,-1878952.9322778573,346549.1159750365,-1532403.8163028208,299.9347194160555,1370.8125114666366,114
300000,-1875778.646527973,345956.33416259295,-1529822.31236538,299.4216728134405,1368.5216454766985,114
305000,-1880740.851662065,345939.74889747007,-1534801.1027645948,299.4073184359172,1369.045019505014,114
310000,-1879450.1641632253,346303.3994111985,-1533146.7647520269,299.7220542403753,1367.6103330092203,114
315000,-1878173.2648328887,347539.20755659265,-1530634.057276296,300.7916335647894,1373.7686545575418,114
320000,-1879307.743074607,346427.153385093,-1532880.5896895141,299.8291620404695,1368.3050133683446,114
325000,-1880149.6427291473,345590.24814548256,-1534559.3945836648,299.10482910568726,1367.6704375073348,114
330000,-1881159.2104029953,347595.3894580679,-1533563.8209449274,300.8402584265433,1366.8286008956456,114
335000,-1879420.6706116516,347258.17427888804,-1532162.4963327637,300.54840213406493,1370.1428618374298,114
340000,-1875335.6830796245,347458.74249905,-1527876.9405805746,300.72199187954385,1372.204963368078,114
345000,-1878706.1709951172,345020.83423723094,-1533685.3367578862,298.61200718541625,1368.0953159068058,114
350000,-1879221.6409364827,346969.0814439702,-1532252.5594925126,300.2981952389115,1369.4821700370776,113
355000,-1876528.8273533443,346260.09596698184,-1530268.7313863626,299.6845755518081,1371.011466132143,113
360000,-1876702.1296465183,347498.4151049177,-1529203.7145416006,300.7563281146139,1370.1033023971636,113
365000,-1879370.3488985607,345172.9619551265,-1534197.3869434344,298.7436721710678,1371.0088738811305,113
370000,-1877235.6231202492,346668.0207377159,-1530567.6023825333,300.0376302733841,1370.4109057365447,113
375000,-1876660.0277748723,346547.4085860266,-1530112.6191888456,299.9332416883106,1369.193053905063,113
380000,-1876821.551198638,347679.69414041727,-1529141.8570582208,300.9132232678322,1370.6343200742747,113
385000,-1876117.6371607166,346061.16252654267,-1530056.4746341738,299.51240069147775,1369.9515695871141,113
390000,-1877715.2277900456,346921.9867904905,-1530793.240999555,300.2574352974593,1368.5845795050507,112
395000,-1881449.4774509156,345094.5164384862,-1536354.9610124296,298.67577837784086,1369.667840331714,112
400000,-1878962.243661588,346179.7722280025,-1532782.4714335855,299.6150561763353,1368.9924925107105,112
405000,-1880864.2155443951,348070.2290663158,-1532793.9864780793,301.25122725636345,1366.7328632900328,112
410000,-1879739.5887631457,347754.57433962065,-1531985.014423525,300.9780313152419,1370.4709055599196,112
415000,-1878025.3620948633,346547.25327603647,-1531478.1088188267,299.9331072691009,1372.236407864806,112
420000,-1880495.2237663101,347551.8384769821,-1532943.3852893282,300.80256549734474,1369.193000435007,112
425000,-1879097.192903718,347286.53424083634,-1531810.6586628817,300.5729473913964,1369.6830217722793,111
430000,-1876913.3346678624,346288.02808364783,-1530625.3065842146,299.70875051341875,1373.7761793077136,111
435000,-1876354.8732437566,346705.74449612945,-1529649.1287476271,300.07027980089265,1369.5216048474126,111
440000,-1882056.1247498086,346349.1177590179,-1535707.0069907906,299.76162300333925,1367.558147660919,111
445000,-1879222.0815672362,347019.7135634571,-1532202.368003779,300.34201682105294,1370.7868163103042,111
450000,-1879566.5203765407,347741.445737254,-1531825.0746392868,300.96666864401965,1369.7012528544335,111
455000,-1877932.5766989607,346694.2442615939,-1531238.3324373667,300.06032646539234,1370.1437313618617,111
460000,-1881228.406752686,347606.77520627284,-1533621.631546413,300.85011267529416,1366.9933138250547,111
465000,-1880702.8326138994,347868.18612859305,-1532834.6464853063,301.0763611579019,1369.8989219285907,111
470000,-1880538.8123550816,347186.9605862243,-1533351.8517688573,300.48676741060706,1368.9492872457608,111
475000,-1878835.6823264994,347325.44438956067,-1531510.2379369386,300.6066237275984,1370.621187721517,111
480000,-1880421.420485977,347669.0262195772,-1532752.3942664,300.9039902913321,1371.7920434097264,111
485000,-1878100.5158457588,347603.43800628145,-1530497.0778394775,300.84722436279554,1370.206908673462,111
490000,-1880812.0389064038,346794.25055984885,-1534017.788346555,300.1468808948346,1370.7984157483522,111
495000,-1878974.813451563,348444.30299216864,-1530530.5104593944,301.5749844175262,1373.062870755099,111
500000,-1880241.8291986007,347744.679282791,-1532497.1499158097,300.969467244647,1368.0816301352672,111
505000,-1880790.4456046065,346994.4802266266,-1533795.96537798,300.32017762581825,1369.6088236346363,110
510000,-1882151.6979766842,346519.79304688086,-1535631.9049298032,299.9093407213095,1369.5880796824933,110
515000,-1877583.8862115005,346841.96200111206,-1530741.9242103884,300.18817465981203,1369.5791363868016,110
520000,-1877564.645887524,346000.2632134015,-1531564.3826741225,299.4596929581216,1372.95361620241,110
525000,-1877495.8670848403,345235.1630074739,-1532260.7040773663,298.797506546408,1369.9908433465232,110
530000,-1880177.4568816712,347333.85470811755,-1532843.6021735538,300.6139027723868,1369.305137165884,110
535000,-1880343.5681486484,346319.14611819107,-1534024.4220304573,299.7356828544038,1370.2763173272685,110
540000,-1876673.9213541783,347078.32441929705,-1529595.5969348813,300.39274391799455,1369.8242816747331,110
545000,-1880972.4274580926,347127.2622754022,-1533845.1651826904,300.43509913248823,1367.9933621263565,110
550000,-1878363.428835704,347464.6132282554,-1530898.8156074486,300.72707293569385,1372.765014593249,110
555000,-1879702.9954854054,345632.54878221895,-1534070.4467031865,299.14143987462535,1369.691611001519,110
560000,-1879631.8334214408,348149.5850051624,-1531482.2484162785,301.3199090107087,1368.761897879676,110
565000,-1879037.778212049,345645.59292726836,-1533392.1852847808,299.15272944890233,1372.5141155881659,110
570000,-1880303.6763736298,347955.57190265274,-1532348.104470977,301.15199265258855,1372.1045861644493,110
575000,-1878378.5549616395,348303.4618192873,-1530075.093142352,301.45308782127734,1364.5612596627964,110
580000,-1878886.5928246956,346425.7000768471,-1532460.8927478485,299.82790421703015,1367.6472503692062,110
585000,-1878561.501200283,347238.9797855909,-1531322.521414692,300.5317894962135,1373.0784447801213,110
590000,-1878951.0158168953,345070.39702274825,-1533880.618794147,298.65490326993165,1370.3764485568424,110
595000,-1879697.6256046882,347976.0116472752,-1531721.613957413,301.16968304274013,1370.1173883088077,110
600000,-1879397.4508262584,347428.74024938827,-1531968.71057687,300.6960252389745,1371.3086612708682,110
605000,-1880688.1968805008,347712.35218329175,-1532975.844697209,300.94148847029464,1368.8541303648462,110
610000,-1879267.7822955176,348566.54788265994,-1530701.2344128578,301.6807861213522,1370.380040543468,110
615000,-1880098.2504528314,348742.14787774906,-1531356.1025750823,301.8327661231142,1366.9570437419131,110
620000,-1879295.416631407,347120.0148991071,-1532175.4017323,300.4288266023464,1368.252085359634,110
625000,-1879307.2409525737,348170.9891438417,-1531136.251808732,301.3384340740639,1371.014478208333,110
630000,-1878142.2696598144,345830.75916345505,-1532311.5104963593,299.3129889346024,1371.871665617472,110
635000,-1878825.478469165,347011.8578728507,-1531813.6205963143,300.33521780108947,1368.9153600493378,110
640000,-1879344.2984888041,347691.863274229,-1531652.4352145751,300.9237555288223,1368.6872472945652,110
645000,-1879680.7224447979,346946.9019087801,-1532733.8205360179,300.27899907779795,1367.445620616162,110
650000,-1878540.9908219557,348293.36446148774,-1530247.626360468,301.4443486612598,1369.1211306900675,110
655000,-1879612.6709529432,348044.5353150848,-1531568.1356378584,301.2289895771689,1367.888739895295,110
660000,-1878310.238401493,346497.4042209594,-1531812.8341805337,299.8899634212061,1370.7235678792526,110
665000,-1877671.4580654874,347191.5189825498,-1530479.9390829378,300.4907126560567,1371.3957482509559,110
670000,-1879397.2266621375,345265.0434906372,-1534132.1831715005,298.8233677993169,1369.7839633849114,110
675000,-1879112.7015578542,346852.50702279015,-1532260.194535064,300.197301268343,1371.3277163179384,110
680000,-1878883.687076088,346921.955165542,-1531961.731910546,300.25740792638953,1367.9127476785718,110
685000,-1878804.115243365,346636.27683452755,-1532167.8384088376,300.0101562494808,1368.5500452958154,110
690000,-1880665.6159215514,348151.39767890645,-1532514.2182426448,301.3214778613153,1369.9290664625928,110
695000,-1878839.8094242532,346647.95282187354,-1532191.8566023796,300.020261697243,1370.437246990066,111
700000,-1878534.8183110151,348860.9550377239,-1529673.8632732914,301.9355925062992,1367.2741557451277,111
705000,-1879656.0742123062,346934.98805005697,-1532721.086162249,300.26868775478897,1370.462069244807,111
710000,-1881327.5008780845,345785.5713643774,-1535541.929513707,299.27387935615417,1365.9956131213028,111
715000,-1879903.3523884062,347414.55104443745,-1532488.8013439686,300.68374462705117,1366.3002517161055,111
720000,-1878726.6889777025,348023.58590267866,-1530703.1030750237,301.2108580747575,1369.659919107041,111
725000,-1878609.800395703,346698.6379404627,-1531911.1624552403,300.064129149566,1369.3350116731162,111
730000,-1880275.292803959,347428.7989118451,-1532846.493892114,300.6960760107316,1371.6155345921425,111
735000,-1877936.5125619108,347582.96626247244,-1530353.5462994385,300.8295062776749,1369.7656798244507,111
740000,-1880591.3658349458,347191.7897823357,-1533399.57605261,300.49094703050486,1365.9447783596684,111
745000,-1878518.4727402981,347252.761878024,-1531265.7108622743,300.5437177564119,1370.9098113025382,111
750000,-1878399.028061458,347635.17871365394,-1530763.849347804,300.87469562075285,1372.0440031291255,111
755000,-1880836.5252298815,348646.0249547197,-1532190.5002751618,301.74957271525585,1369.649728043797,111
760000,-1878754.017330639,345278.2474395782,-1533475.769891061,298.83479568222936,1367.9782942093677,111
765000,-1878947.2825706638,347033.8455730822,-1531913.4369975817,300.35424793100617,1369.3525036547621,111
770000,-1877153.2151144464,346909.11388398096,-1530244.1012304653,300.2462939283892,1369.1632460556395,111
