Ligand	Type	E_elec	E_vdw	Delta_G_solv_polar	Delta_G_solv_nonpolar	Delta_G_binding
Kanamycin	Positive Control	-75.33550994622028	-19.91061402791532	75.23329417880576	-3.8880000000000003	-23.900829795329837
Amikacin	Positive Control	21.791019573368402	-18.980187262192764	-21.291401264168925	-4.617	-23.09756895299329
Gentamicin	Positive Control	12.482928005945116	-18.14180835554112	-12.751368687656974	-3.321	-21.73124903725298
Penicillin_G	Negative Decoy	38.02200044769966	-13.965893428659449	-36.03946238280167	-2.025	-14.008355363761462
D_Glucose	Negative Decoy	-8.330061108613313	-10.312599995281811	8.322012032454303	-1.377	-11.69764907144082
Tetracycline	Negative Decoy	176.00552192270624	-14.48265270988697	-169.07914628493438	-3.1590000000000003	-10.715277072115109
